id,fecha,hora,estado,estado_de_venta,cliente,dpi,combo_o_single,departamento,municipio,codigo_tv,codigo_velocidad,codigo_tel,equipo_adicional,direccion_instalacion,codigo_combo_o_single,costo_instalacion,motivo_de_rechazo,codigo_pago,numero_servicio,premium_adicionales,numero_anexo,cancelado,no_ot,plan,orden,msisdn,cancelada
1502980,2021-08-30 18:00:01.0,18:00,created,PENDIENTE,"JUAN JOSE MANGE REYES ",1788988560101,single,,,,,,,,,,,,,,,,,,1502980,,No
1502992,2021-08-30 18:03:34.0,18:03,created,PENDIENTE,"WILLIAMS ARMANDO MAZARIEGOS LOPES ",3056656180301,single,,,,,,,,,,,,,,,,,,1502992,,No
1502993,2021-08-30 18:04:46.0,18:04,created,PENDIENTE,"WILLIAMS ARMANDO MAZARIEGOS LOPES ",3056656180301,single,,,,,,,,,,,,,,,,,,1502993,,No
1502994,2021-08-30 18:05:01.0,18:05,created,PENDIENTE,"WILLIAMS ARMANDO MAZARIEGOS LOPES ",3056656180301,single,,,,,,,,,,,,,,,,,,1502994,,No
1502999,2021-08-30 12:33:33.0,12:33,address,PENDIENTE,"ASJASHJA ROMERO ",3001594710101,single,,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1502999,,No
1503014,2021-08-30 13:49:24.0,13:49,customerInfo,PENDIENTE,"ANTONIO HERRERA GONZALEZ MASCULINO SEXO ",7326372637627,single,GUATEMALA,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503014,,No
1503018,2021-08-30 14:05:29.0,14:05,address,PENDIENTE,"ASJASHJA ROMERO ",7326372637627,single,,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503018,,No
1503026,2021-08-30 15:31:39.0,15:31,customerInfo,PENDIENTE,"ANTONIO HERRERA GONZALEZ MASCULINO SEXO ",3001594710101,single,GUATEMALA,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503026,,No
1503030,2021-08-30 21:46:59.0,21:46,created,PENDIENTE,"ASJASHJA ROMERO ",3001594710101,single,,,,,,,,,,,,,,,,,,1503030,,No
1503031,2021-08-30 21:47:39.0,21:47,created,PENDIENTE,"ASJASHJA ROMERO ",3001594710101,single,,,,,,,,,,,,,,,,,,1503031,,No
1503043,2021-08-31 04:09:22.0,04:09,created,PENDIENTE,"DANTE MUNOZ ",2270062080101,single,,,,,,,,,,,,,,,,,,1503043,,No
1503048,2021-08-31 01:57:50.0,01:57,contactInfo,PENDIENTE,"ANTONIO HERRERA GONZALEZ MASCULINO SEXO ",2198410550103,combo,GUATEMALA,,199,,,,BOULEVARD TEST,HH-HFC-314,0,,,G08438,380-HBO Max HD 2M,,,,HH-HFC-314,1503048,,No
1503048,2021-08-31 01:57:50.0,01:57,contactInfo,PENDIENTE,"ANTONIO HERRERA GONZALEZ MASCULINO SEXO ",2198410550103,combo,GUATEMALA,,201,,,,BOULEVARD TEST,HH-HFC-314,0,,,G08438,380-HBO Max HD 2M,,,,HH-HFC-314,1503048,,No
1503050,2021-08-31 03:23:23.0,03:23,customerInfo,PENDIENTE,"ANTONIO HERRERA GONZALEZ MASCULINO SEXO ",2198410550101,single,GUATEMALA,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503050,,No
1503069,2021-08-31 12:41:28.0,12:41,created,PENDIENTE,"ABU SALIM ",1788988560101,single,,,,,,,,,,,,,,,,,,1503069,,No
1503071,2021-08-31 12:46:17.0,12:46,created,PENDIENTE,"AGIN JAYAN ",1788988560101,single,,,,,,,,,,,,,,,,,,1503071,,No
1503074,2021-08-31 12:48:33.0,12:48,created,PENDIENTE,"WILLIAMS ARMANDO MAZARIEGOS LOPES ",3056656180301,single,,,,,,,,,,,,,,,,,,1503074,,No
1503086,2021-08-31 13:22:47.0,13:22,created,PENDIENTE,"AGIN JAYAN ",2143937040101,single,,,,,,,,,,,,,,,,,,1503086,,No
1503089,2021-08-31 13:24:53.0,13:24,created,PENDIENTE,"AGIN JAYAN ",2198410550101,single,,,,,,,,,,,,,,,,,,1503089,,No
1503090,2021-08-31 13:26:18.0,13:26,created,PENDIENTE,"AGIN JAYAN ",2198410550101,single,,,,,,,,,,,,,,,,,,1503090,,No
1503097,2021-08-31 07:34:30.0,07:34,RECHAZADA,RECHAZADA,"JUSTO LEONEL MARROQUIN GARCIA ",1584641920101,combo,,,55,,,,,,,NO LOGS,,,600-Contenido exclusivo hbomax-600-Contenido exclusivo hbomax,23388379,,,,1503097,50211148175,Si
1503097,2021-08-31 07:34:30.0,07:34,RECHAZADA,RECHAZADA,"JUSTO LEONEL MARROQUIN GARCIA ",1584641920101,combo,,,60,,,,,,,NO LOGS,,,600-Contenido exclusivo hbomax-600-Contenido exclusivo hbomax,23388379,,,,1503097,50211148175,Si
1503121,2021-08-31 21:16:50.0,21:16,created,PENDIENTE,"DANTE NOGUERA MUNOZ ",2776206430101,single,,,,,,,,,,,,,,,,,,1503121,,No
1503124,2021-08-31 16:36:39.0,16:36,serviceAddress,PENDIENTE,"CRISTIAN GUSTAVO XUM MASCULINO SEXO ",2226100180301,single,GUATEMALA,,,,,,BOULEVARD 1,,,,,T63560,,,,,,1503124,,No
1502971,2021-08-30 17:42:35.0,17:42,created,PENDIENTE,"ANTONIO HERRERA GONZALEZ MASCULINO SEXO ",2198410550101,single,,,,,,,,,,,,,,,,,,1502971,,No
1502975,2021-08-30 11:48:04.0,11:48,address,PENDIENTE,"ASJASHJA ROMERO ",3001594710101,single,,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1502975,,No
1502981,2021-08-30 18:00:26.0,18:00,created,PENDIENTE,"KAMAL RAJ ",1788988560101,single,,,,,,,,,,,,,,,,,,1502981,,No
1502984,2021-08-30 18:00:47.0,18:00,created,PENDIENTE,"WILLIAMS ARMANDO MAZARIEGOS LOPES ",3056656180301,single,,,,,,,,,,,,,,,,,,1502984,,No
1502987,2021-08-30 18:02:36.0,18:02,created,PENDIENTE,"ABU SALIM ",2776206430101,single,,,,,,,,,,,,,,,,,,1502987,,No
1503002,2021-08-30 12:40:04.0,12:40,address,PENDIENTE,"ASJASHJA ROMERO ",3001594710101,single,,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503002,,No
1503008,2021-08-30 13:17:55.0,13:17,address,PENDIENTE,"ASJASHJA ROMERO ",3001594710101,single,,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503008,,No
1503027,2021-08-30 15:35:01.0,15:35,address,PENDIENTE,"ASJASHJA ROMERO ",3001594710101,single,,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503027,,No
1503036,2021-08-30 15:50:02.0,15:50,customerInfo,PENDIENTE,"ANTONIO HERRERA GONZALEZ MASCULINO SEXO ",3001594710101,single,GUATEMALA,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503036,,No
1503039,2021-08-30 21:30:36.0,21:30,customerInfo,PENDIENTE,"CUI GINA MARIA MARTINEZ DIAZ ",1823728390101,single,GUATEMALA,,,,,,AVENIDA 12B,,,,,,,,,,,1503039,,No
1503053,2021-08-31 03:58:55.0,03:58,customerInfo,PENDIENTE,"ANTONIO HERRERA GONZALEZ MASCULINO SEXO ",3001594710101,single,GUATEMALA,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503053,,No
1503062,2021-08-31 12:25:36.0,12:25,created,PENDIENTE,"WILLIAMS ARMANDO MAZARIEGOS LOPES ",3056656180301,single,,,,,,,,,,,,,,,,,,1503062,,No
1503065,2021-08-31 12:30:25.0,12:30,created,PENDIENTE,"ABU SALIM ",3056656180301,single,,,,,,,,,,,,,,,,,,1503065,,No
1503078,2021-08-31 07:17:13.0,07:17,currentAccount,PENDIENTE,"MARKO ANTONIO HERRERA GONZALEZ ",7472339889,single,,,,,,,,,,,,,,57846451,,,,1503078,50214209843,No
1503082,2021-08-31 13:18:59.0,13:18,created,PENDIENTE,"AGIN JAYAN ",2143937040101,single,,,,,,,,,,,,,,,,,,1503082,,No
1503093,2021-08-31 07:32:59.0,07:32,RECHAZADA,RECHAZADA,"MARKO ANTONIO HERRERA GONZALEZ ",7472339889,combo,,,55,,,,,,,NO LOGS,,,600-Contenido exclusivo hbomax-600-Contenido exclusivo hbomax,57846451,,,,1503093,50214209843,Si
1503093,2021-08-31 07:32:59.0,07:32,RECHAZADA,RECHAZADA,"MARKO ANTONIO HERRERA GONZALEZ ",7472339889,combo,,,60,,,,,,,NO LOGS,,,600-Contenido exclusivo hbomax-600-Contenido exclusivo hbomax,57846451,,,,1503093,50214209843,Si
1503103,2021-08-31 13:41:52.0,13:41,created,PENDIENTE,"ABU SALIM ",1788988560101,single,,,,,,,,,,,,,,,,,,1503103,,No
1503107,2021-08-31 13:42:33.0,13:42,created,PENDIENTE,"WILLIAMS ARMANDO MAZARIEGOS LOPES ",3056656180301,single,,,,,,,,,,,,,,,,,,1503107,,No
1503109,2021-08-31 13:47:59.0,13:47,created,PENDIENTE,"ABU SALIM ",1788988560101,single,,,,,,,,,,,,,,,,,,1503109,,No
1503110,2021-08-31 07:48:29.0,07:48,currentAccount,PENDIENTE,"JUAN JOSE MANGE REYES ",1788988560101,single,,,,,,,,,,,,,,65906322,,,,1503110,50214449758,No
1503115,2021-08-31 13:59:27.0,13:59,created,PENDIENTE,"ASJASHJA ROMERO ",2630142900101,single,,,,,,,,,,,,,,,,,,1503115,,No
1503116,2021-08-31 08:40:27.0,08:40,customerInfo,PENDIENTE,"ANTONIO HERRERA GONZALEZ MASCULINO SEXO ",2198410550103,single,GUATEMALA,,,,,,BOULEVARD TEST,,,,,,,,,,,1503116,,No
1503126,2021-08-31 23:24:13.0,23:24,created,PENDIENTE,"JULISSA RACHEL LEON GONZALEZ DE ",3385970421001,single,,,,,,,,,,,,,,,,,,1503126,,No
1503132,2021-09-01 03:12:56.0,03:12,RECHAZADA,RECHAZADA,"JUAN JOSE MANGE REYES ",1788988560101,combo,,,449,,,,,HH-HFC-M62,0,NO LOGS,,,17-Detalle de llamadas-380-HBO Max HD 2M,65906322,,,HH-HFC-M62,1503132,50214449758,Si
1503132,2021-09-01 03:12:56.0,03:12,RECHAZADA,RECHAZADA,"JUAN JOSE MANGE REYES ",1788988560101,combo,,,416,,,,,HH-HFC-M62,0,NO LOGS,,,17-Detalle de llamadas-380-HBO Max HD 2M,65906322,,,HH-HFC-M62,1503132,50214449758,Si
1502961,2021-08-30 10:55:59.0,10:55,ASISTIDA,PENDIENTE,"OPRAH PATRICIA VELAZQUEZ CHAMBERS ",2052242881607,single,GUATEMALA,,106,,,,3 CALLE 3-44 ZONA 1 GUATEMALA,HH-HFC-642,200,,,113322,,11223344,,,HH-HFC-642,1502961,33124536,No
1502974,2021-08-30 11:46:00.0,11:46,address,PENDIENTE,"ASJASHJA ROMERO ",3001594710101,single,,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1502974,,No
1502976,2021-08-30 17:58:54.0,17:58,created,PENDIENTE,"KAMAL RAJ ",2776206430101,single,,,,,,,,,,,,,,,,,,1502976,,No
1502977,2021-08-30 17:58:59.0,17:58,created,PENDIENTE,"LUIS FERNANDO DE LEON RAMIREZ ",2776206430101,single,,,,,,,,,,,,,,,,,,1502977,,No
1502982,2021-08-30 18:00:29.0,18:00,created,PENDIENTE,"JUAN JOSE MANGE REYES ",1788988560101,single,,,,,,,,,,,,,,,,,,1502982,,No
1502988,2021-08-30 18:02:40.0,18:02,created,PENDIENTE,"LUIS FERNANDO DE LEON RAMIREZ ",2776206430101,single,,,,,,,,,,,,,,,,,,1502988,,No
1503009,2021-08-30 13:19:38.0,13:19,customerInfo,PENDIENTE,"ANTONIO HERRERA GONZALEZ MASCULINO SEXO ",3001594710101,single,GUATEMALA,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503009,,No
1503015,2021-08-30 13:54:36.0,13:54,address,PENDIENTE,"ASJASHJA ROMERO ",3001594710101,single,,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503015,,No
1503016,2021-08-30 13:58:23.0,13:58,customerInfo,PENDIENTE,"ANTONIO HERRERA GONZALEZ MASCULINO SEXO ",3001594710101,single,GUATEMALA,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503016,,No
1503021,2021-08-30 14:29:06.0,14:29,address,PENDIENTE,"ASJASHJA ROMERO ",3001594710101,single,,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503021,,No
1503025,2021-08-30 15:19:04.0,15:19,customerInfo,PENDIENTE,"ANTONIO HERRERA GONZALEZ MASCULINO SEXO ",3001594710101,single,GUATEMALA,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503025,,No
1503034,2021-08-30 21:48:15.0,21:48,created,PENDIENTE,"ASJASHJA ROMERO ",3001594710101,single,,,,,,,,,,,,,,,,,,1503034,,No
1503038,2021-08-31 03:28:22.0,03:28,created,PENDIENTE,"DANTE MUNOZ ",2179549600101,single,,,,,,,,,,,,,,,,,,1503038,,No
1503055,2021-08-31 12:15:50.0,12:15,created,PENDIENTE,"AGIN JAYAN ",2776206430101,single,,,,,,,,,,,,,,,,,,1503055,,No
1503057,2021-08-31 06:29:58.0,06:29,currentAccount,PENDIENTE,"LUIS FERNANDO DE LEON RAMIREZ ",2776206430101,single,,,,,,,,,,,,,,68035075,,,,1503057,50214538017,No
1503067,2021-08-31 12:37:45.0,12:37,created,PENDIENTE,"ABU SALIM ",3056656180301,single,,,,,,,,,,,,,,,,,,1503067,,No
1503085,2021-08-31 07:22:18.0,07:22,currentAccount,PENDIENTE,"MARKO ANTONIO HERRERA GONZALEZ ",7472339889,single,,,,,,,,,,,,,,57846451,,,,1503085,50214209843,No
1503102,2021-08-31 07:37:46.0,07:37,RECHAZADA,RECHAZADA,"MARKO ANTONIO HERRERA GONZALEZ ",7472339889,combo,,,55,,,,,,,NO LOGS,,,201-Paquete FOX-201-Paquete FOX,57846451,,,,1503102,50214209843,Si
1503102,2021-08-31 07:37:46.0,07:37,RECHAZADA,RECHAZADA,"MARKO ANTONIO HERRERA GONZALEZ ",7472339889,combo,,,60,,,,,,,NO LOGS,,,201-Paquete FOX-201-Paquete FOX,57846451,,,,1503102,50214209843,Si
1503112,2021-08-31 12:19:34.0,12:19,currentAccount,PENDIENTE,"JUAN JOSE MANGE REYES ",1788988560101,single,,,,,,,,,,,,,,65906322,,,,1503112,50214449758,No
1503113,2021-08-31 07:55:09.0,07:55,address,PENDIENTE,"ASJASHJA ROMERO ",3001594710101,single,,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503113,,No
1503117,2021-08-31 08:41:06.0,08:41,customerInfo,PENDIENTE,"ANTONIO HERRERA GONZALEZ MASCULINO SEXO ",2198410550103,single,GUATEMALA,,,,,,BOULEVARD TEST,,,,,,,,,,,1503117,,No
1503118,2021-08-31 12:27:35.0,12:27,offer,PENDIENTE,"JULISSA RACHEL LEON GONZALEZ DE ",2198410550101,combo,GUATEMALA,,201,,,,AVENIDA 12,HH-HFC-314,0,,,1231231,380-HBO Max HD 2M,,,,HH-HFC-314,1503118,,No
1503118,2021-08-31 12:27:35.0,12:27,offer,PENDIENTE,"JULISSA RACHEL LEON GONZALEZ DE ",2198410550101,combo,GUATEMALA,,199,,,,AVENIDA 12,HH-HFC-314,0,,,1231231,380-HBO Max HD 2M,,,,HH-HFC-314,1503118,,No
1503127,2021-08-31 17:26:02.0,17:26,serviceAddress,PENDIENTE,"CRISTIAN GUSTAVO XUM MASCULINO SEXO ",2226100180301,single,GUATEMALA,,,,,,BOULEVARD 1,,,,,T63560,,,,,,1503127,,No
1503134,2021-09-01 03:47:46.0,03:47,RECHAZADA,RECHAZADA,"JUAN JOSE MANGE REYES ",1788988560101,combo,,,416,,,,,HH-HFC-M62,0,NO LOGS,,,17-Detalle de llamadas-380-HBO Max HD 2M,65906322,,,HH-HFC-M62,1503134,50214449758,Si
1503134,2021-09-01 03:47:46.0,03:47,RECHAZADA,RECHAZADA,"JUAN JOSE MANGE REYES ",1788988560101,combo,,,449,,,,,HH-HFC-M62,0,NO LOGS,,,17-Detalle de llamadas-380-HBO Max HD 2M,65906322,,,HH-HFC-M62,1503134,50214449758,Si
1502969,2021-08-30 11:42:14.0,11:42,serviceAddress,PENDIENTE,"ANTONIO HERRERA GONZALEZ MASCULINO SEXO ",2198410550101,single,GUATEMALA,,,,,,BOULEVARD TEST,,,,,G08438,,,,,,1502969,,No
1502972,2021-08-30 11:43:44.0,11:43,address,PENDIENTE,"TEST TEST ",2198410550103,single,,,,,,,BOULEVARD TEST,,,,,,,,,,,1502972,,No
1502979,2021-08-30 17:59:55.0,17:59,created,PENDIENTE,"KAMAL RAJ ",1788988560101,single,,,,,,,,,,,,,,,,,,1502979,,No
1502983,2021-08-30 18:00:44.0,18:00,created,PENDIENTE,"KAMAL RAJ ",3056656180301,single,,,,,,,,,,,,,,,,,,1502983,,No
1502995,2021-08-30 18:05:13.0,18:05,created,PENDIENTE,"WILLIAMS ARMANDO MAZARIEGOS LOPES ",3056656180301,single,,,,,,,,,,,,,,,,,,1502995,,No
1502998,2021-08-30 12:22:42.0,12:22,address,PENDIENTE,"ASJASHJA ROMERO ",3001594710101,single,,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1502998,,No
1503004,2021-08-30 12:56:57.0,12:56,address,PENDIENTE,"ASJASHJA ROMERO ",3001594710101,single,,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503004,,No
1503006,2021-08-30 13:01:36.0,13:01,address,PENDIENTE,"ASJASHJA ROMERO ",3001594710101,single,,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503006,,No
1503013,2021-08-30 13:47:37.0,13:47,address,PENDIENTE,"TAMRA ROMERO ",3001594710101,single,,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503013,,No
1503033,2021-08-30 21:48:08.0,21:48,created,PENDIENTE,"ASJASHJA ROMERO ",3001594710101,single,,,,,,,,,,,,,,,,,,1503033,,No
1503041,2021-08-30 21:57:39.0,21:57,serviceAddress,PENDIENTE,"CUI GINA MARIA MARTINEZ DIAZ ",1823728390101,single,GUATEMALA,,,,,,AVENIDA 12B,,,,,871387,,,,,,1503041,,No
1503042,2021-08-30 22:02:43.0,22:02,serviceAddress,PENDIENTE,"CUI GINA MARIA MARTINEZ DIAZ ",1823728390101,single,GUATEMALA,,,,,,COLONIA EL CASTANO,,,,,R71387,,,,,,1503042,,No
1503051,2021-08-31 03:33:51.0,03:33,customerInfo,PENDIENTE,"ANTONIO HERRERA GONZALEZ MASCULINO SEXO ",3001594710101,single,GUATEMALA,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503051,,No
1503066,2021-08-31 12:30:44.0,12:30,created,PENDIENTE,"WILLIAMS ARMANDO MAZARIEGOS LOPES ",3056656180301,single,,,,,,,,,,,,,,,,,,1503066,,No
1503068,2021-08-31 12:37:51.0,12:37,created,PENDIENTE,"WILLIAMS ARMANDO MAZARIEGOS LOPES ",3056656180301,single,,,,,,,,,,,,,,,,,,1503068,,No
1503070,2021-08-31 06:55:54.0,06:55,RECHAZADA,RECHAZADA,"JUAN JOSE MANGE REYES ",1788988560101,combo,,,416,,,,,HH-HFC-M62,0,NO LOGS,,,17-Detalle de llamadas-380-HBO Max HD 2M,65906322,,,HH-HFC-M62,1503070,50214449758,Si
1503070,2021-08-31 06:55:54.0,06:55,RECHAZADA,RECHAZADA,"JUAN JOSE MANGE REYES ",1788988560101,combo,,,449,,,,,HH-HFC-M62,0,NO LOGS,,,17-Detalle de llamadas-380-HBO Max HD 2M,65906322,,,HH-HFC-M62,1503070,50214449758,Si
1503075,2021-08-31 12:59:12.0,12:59,created,PENDIENTE,"WILLIAMS ARMANDO MAZARIEGOS LOPES ",3056656180301,single,,,,,,,,,,,,,,,,,,1503075,,No
1503079,2021-08-31 13:18:34.0,13:18,created,PENDIENTE,"ABU SALIM ",2198410550101,single,,,,,,,,,,,,,,,,,,1503079,,No
1503080,2021-08-31 07:18:58.0,07:18,RECHAZADA,RECHAZADA,"MARKO ANTONIO HERRERA GONZALEZ ",7472339889,combo,,,55,,,,,,,NO LOGS,,,600-Contenido exclusivo hbomax-600-Contenido exclusivo hbomax,57846451,,,,1503080,50214209843,Si
1503080,2021-08-31 07:18:58.0,07:18,RECHAZADA,RECHAZADA,"MARKO ANTONIO HERRERA GONZALEZ ",7472339889,combo,,,60,,,,,,,NO LOGS,,,600-Contenido exclusivo hbomax-600-Contenido exclusivo hbomax,57846451,,,,1503080,50214209843,Si
1503088,2021-08-31 07:23:29.0,07:23,currentAccount,PENDIENTE,"LUIS FERNANDO DE LEON RAMIREZ ",2776206430101,single,,,,,,,,,,,,,,68035075,,,,1503088,50214538017,No
1503091,2021-08-31 07:26:28.0,07:26,currentAccount,PENDIENTE,"MARKO ANTONIO HERRERA GONZALEZ ",7472339889,single,,,,,,,,,,,,,,57846451,,,,1503091,50214209843,No
1503100,2021-08-31 07:36:41.0,07:36,address,PENDIENTE,"ASJASHJA ROMERO ",3001594710101,single,,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503100,,No
1503104,2021-08-31 07:42:04.0,07:42,currentAccount,PENDIENTE,"JUAN JOSE MANGE REYES ",1788988560101,single,,,,,,,,,,,,,,65906322,,,,1503104,50214449758,No
1503111,2021-08-31 13:52:57.0,13:52,created,PENDIENTE,"ABU SALIM ",1788988560101,single,,,,,,,,,,,,,,,,,,1503111,,No
1503137,2021-09-01 10:10:48.0,10:10,created,PENDIENTE,"ABU SALIM ",1788988560101,single,,,,,,,,,,,,,,,,,,1503137,,No
1502978,2021-08-30 17:59:26.0,17:59,created,PENDIENTE,"LUIS FERNANDO DE LEON RAMIREZ ",2776206430101,single,,,,,,,,,,,,,,,,,,1502978,,No
1502986,2021-08-30 18:02:18.0,18:02,created,PENDIENTE,"LUIS FERNANDO DE LEON RAMIREZ ",2776206430101,single,,,,,,,,,,,,,,,,,,1502986,,No
1503003,2021-08-30 12:50:53.0,12:50,address,PENDIENTE,"ASJASHJA ROMERO ",3001594710101,single,,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503003,,No
1503005,2021-08-30 13:00:27.0,13:00,address,PENDIENTE,"ASJASHJA AKSJAS ",3001594710101,single,,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503005,,No
1503019,2021-08-30 14:06:30.0,14:06,address,PENDIENTE,"ASJASHJA ROMERO ",3001594710101,single,,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503019,,No
1503020,2021-08-30 14:24:16.0,14:24,address,PENDIENTE,"ASJASHJA AKSJAS ",3001594710101,single,,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503020,,No
1503022,2021-08-30 14:31:48.0,14:31,address,PENDIENTE,"ASJASHJA AKSJAS ",3001594710101,single,,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503022,,No
1503023,2021-08-30 14:33:37.0,14:33,customerInfo,PENDIENTE,"ANTONIO HERRERA GONZALEZ MASCULINO SEXO ",3001594710101,single,GUATEMALA,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1503023,,No
1503028,2021-08-30 21:38:17.0,21:38,created,PENDIENTE,"ASJASHJA ROMERO ",3001594710101,single,,,,,,,,,,,,,,,,,,1503028,,No
1503032,2021-08-30 21:47:59.0,21:47,created,PENDIENTE,"GABRIEL AMAYA SANCHEZ ",2202782960101,single,,,,,,,,,,,,,,,,,,1503032,,No
